property_tax_id,id,2018.total,2019.total,2022.total,2017.total,2021.total,2013.total,2014.total,2015.total,2016.total,2020.total,2023.total
166,"6829-Blue-Lake-Dr,-San-Antonio,-TX-78244",,924.0,986.0,,993.0,,,,,,596.0
167,"7028-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
168,"6827-Blue-Lake-Dr,-San-Antonio,-TX-78244",,887.0,950.0,,959.0,,,,,,579.0
169,"6822-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2404.0,3274.0,,2830.0,,,,,,3187.0
170,"6839-Blue-Lake-Dr,-San-Antonio,-TX-78244",,1805.0,2000.0,,2080.0,,,,,,3076.0
171,"6823-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2403.0,3254.0,,2786.0,,,,,,3386.0
172,"6834-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2522.0,3433.0,,2948.0,,,,,,3565.0
173,"6835-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2443.0,2325.0,,2390.0,,,,,,1736.0
174,"6831-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2847.0,4120.0,,3565.0,,,,,,4257.0
175,"6906-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2680.0,4036.0,,3504.0,,,,,,4184.0
176,"6830-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2070.0,2306.0,,2374.0,,,,,,1716.0
177,"6902-Twin-Lake-Dr,-San-Antonio,-TX-78244",,2775.0,3794.0,,3249.0,,,,,,2341.0
178,"6902-Quail-Lk,-San-Antonio,-TX-78244",,3331.0,3360.0,,3386.0,,,,,,2759.0
179,"6842-Twin-Lake-Dr,-San-Antonio,-TX-78244",,3092.0,2499.0,,3116.0,,,,,,1503.0
180,"6914-Trail-Lk,-San-Antonio,-TX-78244",,2780.0,3602.0,,3130.0,,,,,,3726.0
181,"6915-Quail-Lk,-San-Antonio,-TX-78244",,3273.0,4341.0,,3737.0,,,,,,4698.0
182,"6918-Trail-Lk,-San-Antonio,-TX-78244",,2441.0,3269.0,,2818.0,,,,,,3388.0
183,"6843-Blue-Lake-Dr,-San-Antonio,-TX-78244",,2201.0,2967.0,,2568.0,,,,,,
184,"6934-Trail-Lk,-San-Antonio,-TX-78244",,1298.0,4629.0,,1293.0,,,,,,4520.0
185,"7004-Atherton,-San-Antonio,-TX-78244",,3724.0,4232.0,,4144.0,,,,,,4229.0
186,"6929-Trail-Lk,-San-Antonio,-TX-78244",,2393.0,3274.0,,2804.0,,,,,,3525.0
187,"6911-Trail-Lk,-San-Antonio,-TX-78244",,3441.0,4448.0,,3803.0,,,,,,4593.0
188,"6907-Trail-Lk,-San-Antonio,-TX-78244",,3154.0,3158.0,,3188.0,,,,,,2561.0
189,"6954-Lakeview-Dr,-San-Antonio,-TX-78244",,,7325.0,,6160.0,,,,,,6549.0
190,"7016-Atherton,-San-Antonio,-TX-78244",,3830.0,4129.0,,3933.0,,,,,,
191,"6922-Trail-Lk,-San-Antonio,-TX-78244",,2821.0,2768.0,,2814.0,,,,,,2175.0
192,"6935-Trail-Lk,-San-Antonio,-TX-78244",,2927.0,3953.0,,3442.0,,,,,,4105.0
193,"6919-Trail-Lk,-San-Antonio,-TX-78244",,2499.0,3313.0,,2848.0,,,,,,3436.0
194,"5311-Lakebend-East-Dr,-San-Antonio,-TX-78244",2661.0,,,,,,,,,,
195,"7010-Atherton,-San-Antonio,-TX-78244",,3636.0,3995.0,,3827.0,,,,,,3966.0
196,"7032-Atherton,-San-Antonio,-TX-78244",,,,,,,,,,,
197,"5314-Lake,-Golden,-San-Antonio,-TX-78244",2645.0,2805.0,2764.0,,3115.0,,,,,2887.0,3726.0
198,"7008-Atherton,-San-Antonio,-TX-78244",,3217.0,3685.0,,3616.0,,,,,,3666.0
199,"5503-Grand-Lake-Dr,-San-Antonio,-TX-78244",,3323.0,3100.0,,3499.0,,,,,,5179.0
200,"5314-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,1811.0,2956.0,,2552.0,,,,,,3078.0
