tax_ass_id,id,2019.value,2019.improvements,2022.value,2022.improvements,2023.value,2023.improvements,2019.land,2020.value,2020.land,2020.improvements,2022.land,2023.land,2018.value,2018.land,2018.improvements,2021.value,2021.land,2021.improvements,2013.value,2013.land,2013.improvements,2014.value,2014.land,2014.improvements,2015.value,2015.land,2015.improvements,2016.value,2016.land,2016.improvements,2017.value,2017.land,2017.improvements,0.date
91,"6902-Trail-Lk,-San-Antonio,-TX-78244",144295.0,124100.0,202630.0,157110.0,229940.0,175340.0,22310.0,154360.0,22310.0,132050.0,45520.0,54600.0,131177.0,17850.0,120110.0,169796.0,41360.0,130520.0,,,,,,,,,,,,,,,,
92,"6835-Still-Lk,-San-Antonio,-TX-78244",150600.0,132900.0,212630.0,170900.0,241110.0,191100.0,21590.0,163010.0,21590.0,141420.0,41730.0,50010.0,136909.0,17270.0,128400.0,177930.0,37940.0,139990.0,,,,,,,,,,,,,,,,
93,"6903-Quail-Lk,-San-Antonio,-TX-78244",159500.0,148430.0,237870.0,192200.0,269870.0,215160.0,22330.0,175450.0,22330.0,157950.0,45670.0,54710.0,145000.0,17860.0,127140.0,192995.0,41480.0,156470.0,,,,,,,,,,,,,,,,
94,"6831-Still-Lk,-San-Antonio,-TX-78244",132084.0,111370.0,184980.0,142760.0,210230.0,159570.0,21600.0,140110.0,21600.0,118510.0,42220.0,50660.0,120076.0,17280.0,107650.0,154121.0,38350.0,117250.0,,,,,,,,,,,,,,,,
95,"6830-Still-Lk,-San-Antonio,-TX-78244",138267.0,116100.0,196340.0,147890.0,209000.0,150960.0,23130.0,146660.0,23130.0,123530.0,48450.0,58040.0,125697.0,18510.0,112190.0,,,,,,,,,,,,,,,,,,,
96,"6906-Trail-Lk,-San-Antonio,-TX-78244",148634.0,130900.0,206650.0,164850.0,234270.0,184170.0,21570.0,160860.0,21570.0,139290.0,41800.0,50100.0,135122.0,17260.0,126530.0,175790.0,38000.0,137790.0,,,,,,,,,,,,,,,,
97,"6907-Quail-Lk,-San-Antonio,-TX-78244",126100.0,104530.0,173000.0,131200.0,192400.0,142300.0,21570.0,136000.0,21570.0,114430.0,41800.0,50100.0,119000.0,17260.0,101740.0,146000.0,38000.0,108000.0,,,,,,,,,,,,,118500.0,17260.0,101240.0,
98,"6906-Quail-Lk,-San-Antonio,-TX-78244",158460.0,136690.0,215030.0,172130.0,243550.0,192040.0,21770.0,167220.0,21770.0,145450.0,42900.0,51510.0,149710.0,17420.0,132290.0,182730.0,39000.0,143730.0,,,,,,,,,,,,,,,,
99,"6905-Quail-Lk,-San-Antonio,-TX-78244",116257.0,95190.0,163240.0,121440.0,185360.0,135260.0,21570.0,119000.0,21570.0,97430.0,41800.0,50100.0,105688.0,17260.0,92320.0,130900.0,38000.0,99920.0,,,,,,,,,,,,,,,,
100,"6903-Trail-Lk,-San-Antonio,-TX-78244",129730.0,107490.0,179940.0,134960.0,204190.0,150240.0,22240.0,136530.0,22240.0,114290.0,44980.0,53950.0,122190.0,17790.0,104400.0,150183.0,40900.0,112580.0,,,,,,,,,,,,,,,,
101,"6911-Quail-Lk,-San-Antonio,-TX-78244",146120.0,123590.0,203650.0,156980.0,219000.0,163040.0,22530.0,154040.0,22530.0,131510.0,46670.0,55960.0,137480.0,18030.0,119450.0,171000.0,42450.0,128550.0,,,,,,,,,,,,,,,,
102,"6910-Trail-Lk,-San-Antonio,-TX-78244",141920.0,122620.0,201580.0,157530.0,228940.0,176120.0,22010.0,152490.0,22010.0,130480.0,44050.0,52820.0,129018.0,17610.0,118470.0,167739.0,39990.0,129130.0,,,,,,,,,,,,,,,,
103,"6913-Quail-Lk,-San-Antonio,-TX-78244",140960.0,118510.0,197720.0,151450.0,224880.0,169400.0,22450.0,148560.0,22450.0,126110.0,46270.0,55480.0,132440.0,17960.0,114480.0,163416.0,42050.0,124870.0,,,,,,,,,,,,,,,,
104,"6910-Quail-Lk,-San-Antonio,-TX-78244",134390.0,112660.0,182890.0,140200.0,195000.0,143850.0,21730.0,141620.0,21730.0,119890.0,42690.0,51150.0,121385.0,17380.0,108930.0,155782.0,38760.0,118600.0,,,,,,,,,,,,,,,,
105,"6909-Quail-Lk,-San-Antonio,-TX-78244",106710.0,85750.0,154140.0,111250.0,175800.0,124300.0,21770.0,113020.0,21770.0,91250.0,42890.0,51500.0,97009.0,17410.0,82930.0,124322.0,38990.0,90270.0,,,,,,,,,,,,,,,,
106,"5303-Lakebend-East-Dr,-San-Antonio,-TX-78244",145622.0,136640.0,219000.0,176920.0,247930.0,197450.0,21580.0,160184.0,21580.0,145400.0,42080.0,50480.0,132384.0,17260.0,132240.0,176202.0,38240.0,143720.0,,,,,,,,,,,,,,,,
107,"5418-Shadow-Lake-Dr,-San-Antonio,-TX-78244",125000.0,101520.0,191000.0,141330.0,216000.0,156450.0,23480.0,148000.0,23480.0,124520.0,49670.0,59550.0,123300.0,18780.0,104520.0,,,,,,,,,,,,,,,,,,,
108,"5503-Lochmoor,-San-Antonio,-TX-78244",168000.0,133310.0,204000.0,144590.0,245910.0,174680.0,34690.0,174000.0,34690.0,139310.0,59410.0,71230.0,139000.0,34690.0,104310.0,195000.0,54090.0,140910.0,,,,,,,,,,,,,,,,
