features_id,id,floorCount,architectureType,exteriorType,foundationType,roofType,fireplace,unitCount,garage,garageSpaces,garageType,cooling,coolingType,heating,heatingType,roomCount,pool,fireplaceType,poolType,squareFootage,bedrooms,bathrooms
228,"1500-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,2.0,2.0
229,"8801-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,,,,,,,,,,,,,,,
230,"2104-E-Anderson-Ln,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,,1.0,1.0
231,"7401-N-Lamar-Blvd,-Austin,-TX-78752",,,,,,,,,,,,,,,,,,,702.0,1.0,1.0
232,"12430-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,664.0,1.0,1.0
233,"6500-Champion-Grandview-Way,-Austin,-TX-78750",,,,,,,,,,,,,,,,,,,950.0,1.0,1.0
234,"2402-San-Gabriel-St,-Austin,-TX-78705",,,,,,,,,,,,,,,,,,,,,
235,"360-Nueces-St,-Apt-1212,-Austin,-TX-78701",1.0,Condo / Apartment,,,,,1.0,,,,,,,,,,,,812.0,1.0,1.0
236,"1621-E-6th-St,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,704.0,2.0,2.0
237,"8600-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,,,1.0
238,"1911-Willow-Creek-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,860.0,1.0,1.0
239,"1611-W-5th-St,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,1131.0,2.0,2.0
240,"1720-W-Wells-Branch-Pkwy,-Austin,-TX-78728",,,,,,,,,,,,,,,,,,,,,
241,"13145-N-Hwy,-183,-Austin,-TX-78750",,,,,,,,,,,,,,,,,,,709.0,1.0,1.0
242,"6607-Brodie-Ln,-Austin,-TX-78745",,,,,,,,,,,,,,,,,,,,,
243,"3816-S-Lamar-Blvd,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,1.0,1.0
244,"2504-Huntwick-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,675.0,1.0,1.0
245,"502-W-Longspur-Blvd,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,615.0,1.0,1.0
246,"1507-Kinney-Ave,-Austin,-TX-78704",,,,,,,,,,,,,,,,,,,,,1.0
247,"1100-Reinli-St,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,,1.0
248,"1309-Zacharys-Way,-Austin,-TX-78748",1.0,,,Slab / Mat / Raft,Composition Shingle,,,True,1.0,Attached,True,Commercial,True,Central,,,,,1537.0,3.0,2.0
249,"1034-Clayton-Ln,-Austin,-TX-78723",,,,,,,,,,,,,,,,,,,,,2.0
250,"11511-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,658.0,1.0,1.0
251,"1403-Norwalk-Ln,-Austin,-TX-78703",,,,,,,,,,,,,,,,,,,,2.0,2.0
252,"811-E-11th-St,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,675.0,1.0,1.0
253,"2029-E-7th-St,-Unit-134,-Austin,-TX-78702",,,,,,,,,,,,,,,,,,,782.0,1.0,1.0
254,"5402-Ave-F,-Austin,-TX-78751",,,,,,,,,,,,,,,,,,,2577.0,6.0,3.5
255,"2819-Foster-Ln,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,,,
256,"13217-Vendrell-Dr,-Austin,-TX-78729",2.0,,Brick Veneer,Slab,,True,1.0,True,1.0,Garage,True,Central,True,Central,,,,,1763.0,3.0,2.5
257,"1511-Faro-Dr,-Austin,-TX-78741",,,,,,,,,,,,,,,,,,,,,1.0
258,"1900-W-Saint-Johns-Ave-Unit-A,-Austin,-TX-78757",,,,,,,,,,,,,,,,,,,980.0,3.0,1.0
259,"11402-Walnut-Ridge-Dr,-Unit-B,-Austin,-TX-78753",,,,,,,,,,,,,,,,,,,1781.0,2.0,2.0
260,"12300-Hymeadow-Dr,-Austin,-TX-78750",,,,,,,,,,,,,,,,,,,,1.0,1.0
261,"1908-W-Loop,-Apt-A,-Austin,-TX-78758",,,,,,,,,,,,,,,,,,,977.0,2.0,1.0
262,"1900-Barton-Springs-Rd,-Unit-4041,-Austin,-TX-78704",1.0,Condo / Apartment,,,,,,,,,,,,,,,,,754.0,1.0,1.0
263,"10122-Cassandra-Dr,-Austin,-TX-78717",1.0,,Brick Veneer,Slab / Mat / Raft,,True,1.0,True,1.0,Garage,True,Central,True,Central,,,,,2402.0,4.0,2.0
264,"6263-Mcneil-Dr,-Austin,-TX-78729",,,,,,,,,,,,,,,,,,,697.0,1.0,1.5
265,"8112-Siringo-Pass,-Austin,-TX-78749",2.0,,,Slab / Mat / Raft,Composition Shingle,True,1.0,True,1.0,Attached,True,Commercial,True,Central,,,,,1947.0,4.0,2.0
266,"8000-Decker-Ln,-Austin,-TX-78724",,,,,,,,,,,,,,,,,,,,,
267,"7920-San-Felipe-Blvd,-Austin,-TX-78729",,,,,,,,,,,,,,,,,,,,,
268,"909-Great-Britain-Blvd,-Austin,-TX-78748",1.0,,,Slab / Mat / Raft,Composition Shingle,True,1.0,True,2.0,Attached,True,Commercial,True,Central,,,,,1377.0,3.0,2.0
269,"1810-Adina-St,-Unit-B,-Austin,-TX-78721",,,,,,,,,,,,,,,,,,,1495.0,3.0,2.5
270,"500-E-Riverside-Dr,-Apt-254,-Austin,-TX-78704",1.0,Condo / Apartment,,Slab / Mat / Raft,Composition Shingle,,1.0,,,,,,,,,,,,573.0,1.0,1.0
